Outcome Type
Job
Internship
Own Venture
Still Seeking Employment
Still Seeking Education
Not Working
No Information Available
Externship or Leadership Program
Not seeking / Other Intention
Postponing job search
Continuing education
Fellowship
Service Organization
Volunteering
Military Service
Exam preparation
Artistic pursuits
Performing arts auditions
Caring for or starting a home or family
Taking time off (more than 4 months)
Studying abroad
Summer classes
Research
Contract/Consulting Work
Retired
Other Experience
